,file,mass
0,g1_model606.fits,
0,g1_model842.fits,1864717849.505611
0,g1_model667.fits,
0,g1_model198.fits,248644586.02491698
0,g1_model946.fits,6483358509.5096445
0,g1_model95.fits,289777034.06032485
0,g1_model29.fits,212989829.30971044
0,g2_model246.fits,319593035.9464673
0,g2_model280.fits,
0,g1_model953.fits,
0,g2_model665.fits,1013445586.3698841
0,g2_model521.fits,859771442.6948675
0,g2_model972.fits,7182274107.408179
0,g1_model270.fits,369267034.8068357
0,g2_model954.fits,5622013712.077188
0,g1_model836.fits,2093204705.8025055
0,g2_model257.fits,
0,g2_model335.fits,467195478.75887746
0,g2_model786.fits,1611003641.7949421
0,g2_model389.fits,
0,g1_model601.fits,921585771.6744926
0,g1_model175.fits,267972729.80272427
0,g2_model291.fits,
0,g1_model369.fits,507703233.01290846
0,g2_model450.fits,1055583258.0771953
0,g1_model482.fits,1026104248.5299969
0,g1_model263.fits,436121147.63997936
0,g1_model353.fits,640932019.2955244
0,g2_model771.fits,1846434184.8857915
0,g2_model674.fits,905782572.268914
0,g1_model792.fits,1801595833.111325
0,g2_model362.fits,477874753.77487874
0,g1_model501.fits,618924359.9639007
0,g1_model177.fits,269337204.8515797
0,g1_model509.fits,
0,g2_model904.fits,3451217159.2386227
0,g2_model448.fits,549531502.0697671
0,g2_model166.fits,229339695.48332354
0,g2_model219.fits,652406231.5128964
0,g2_model621.fits,1065163404.9240695
0,g1_model565.fits,929362795.0931265
0,g1_model677.fits,
0,g2_model782.fits,
0,g2_model837.fits,2649790845.7347484
0,g1_model180.fits,253864331.98038915
0,g2_model416.fits,638022684.2352191
0,g1_model947.fits,3807183886.2300615
0,g1_model415.fits,418594787.9578543
0,g2_model105.fits,
0,g2_model138.fits,336275195.9953007
0,g2_model596.fits,1078488665.7598302
0,g2_model453.fits,
0,g1_model940.fits,4268916589.3041368
0,g2_model274.fits,451039389.3860243
0,g1_model522.fits,
0,g1_model537.fits,920798986.0257887
0,g1_model929.fits,3590536813.1032295
0,g1_model18.fits,238037913.3070406
0,g1_model905.fits,3554960060.207791
0,g2_model346.fits,
0,g2_model587.fits,747983297.7425255
0,g1_model380.fits,499898694.0452077
0,g2_model802.fits,2273668093.518662
0,g2_model756.fits,1693362352.5875623
0,g1_model993.fits,11185927550.913801
0,g1_model543.fits,1200589865.5715795
0,g2_model178.fits,
0,g1_model144.fits,319434388.5131268
0,g2_model54.fits,315713184.6820907
0,g1_model127.fits,289955238.5170764
0,g2_model220.fits,397618757.5529285
0,g2_model945.fits,4188148333.4010124
0,g2_model169.fits,258939955.037606
0,g1_model743.fits,1339860803.7216785
0,g2_model396.fits,454157607.6039785
0,g2_model638.fits,
0,g2_model485.fits,660567673.6634994
0,g2_model684.fits,1523160551.5492759
0,g2_model530.fits,737704764.0793096
0,g1_model887.fits,3296788936.6253843
0,g1_model25.fits,
0,g1_model372.fits,
0,g1_model961.fits,6070056654.1762905
0,g2_model706.fits,1223629691.552845
0,g2_model906.fits,7137281667.051131
0,g2_model922.fits,3786141808.4611917
0,g2_model293.fits,
0,g2_model979.fits,6070026216.316595
0,g1_model523.fits,746989903.7774879
0,g2_model81.fits,249330411.84666094
0,g2_model683.fits,990251300.2928084
0,g1_model85.fits,
0,g1_model389.fits,917830976.0857017
0,g1_model119.fits,434001475.04002625
0,g2_model686.fits,1237959755.6256154
0,g2_model465.fits,
0,g1_model944.fits,
0,g2_model360.fits,526103677.690113
0,g2_model858.fits,
0,g1_model292.fits,341267012.150528
0,g1_model550.fits,755291904.7786232
0,g1_model894.fits,2992560672.6135616
0,g1_model845.fits,2034328144.7046108
0,g1_model507.fits,657948756.1955489
0,g1_model988.fits,7615043680.544933
0,g1_model519.fits,702506953.8320738
0,g2_model136.fits,
0,g1_model222.fits,359148888.9104207
0,g2_model43.fits,243297563.9305557
0,g2_model929.fits,5156517290.005821
0,g1_model560.fits,1078835669.0922163
0,g2_model835.fits,2084911770.5498328
0,g2_model183.fits,290121023.7664556
0,g2_model216.fits,394872912.07113
0,g2_model83.fits,225570463.05916944
0,g2_model269.fits,358511893.06542987
0,g1_model692.fits,1697114251.6336455
0,g2_model174.fits,266594499.7553683
0,g2_model830.fits,
0,g1_model460.fits,569797119.576027
0,g2_model167.fits,344175755.7989918
0,g1_model409.fits,
0,g1_model875.fits,3304506862.8537216
0,g1_model430.fits,
0,g1_model135.fits,273511053.3014373
0,g2_model631.fits,982258858.7621082
0,g1_model942.fits,4213703317.8837476
0,g2_model125.fits,308285359.7080018
0,g2_model867.fits,4688366974.071306
0,g1_model24.fits,245060633.7748099
0,g2_model673.fits,
0,g1_model40.fits,196021879.7190814
0,g2_model931.fits,5811571805.648243
0,g1_model638.fits,1409303064.596207
0,g1_model781.fits,1630574686.2496283
0,g2_model185.fits,
0,g1_model336.fits,433644066.997167
0,g2_model801.fits,1813155123.3190496
0,g1_model505.fits,806694011.6428169
0,g1_model308.fits,500033019.4840568
0,g1_model899.fits,
0,g1_model439.fits,
0,g2_model516.fits,682308634.5017076
0,g1_model996.fits,9883540118.664537
0,g2_model492.fits,751309120.3201828
0,g1_model156.fits,
0,g2_model341.fits,
0,g2_model70.fits,196958235.48790848
0,g2_model51.fits,340342142.4210411
0,g2_model457.fits,596918639.0688959
0,g1_model234.fits,310695974.8577265
0,g1_model210.fits,310258314.930367
0,g2_model353.fits,
0,g2_model883.fits,2636372185.20556
0,g1_model727.fits,1396123323.562982
0,g1_model475.fits,
0,g2_model783.fits,1876790730.9041052
0,g2_model447.fits,
0,g1_model445.fits,630014941.5386997
0,g2_model474.fits,912393695.2132798
0,g1_model816.fits,1721540478.1031973
0,g2_model339.fits,458070412.2372881
0,g1_model861.fits,
0,g1_model474.fits,
0,g1_model214.fits,357195911.3865219
0,g2_model982.fits,
0,g1_model589.fits,926963993.5788783
0,g1_model834.fits,2563785378.811144
0,g1_model502.fits,864271897.6696472
0,g1_model488.fits,681855980.3782399
0,g2_model344.fits,359007753.4227295
0,g2_model787.fits,1944152203.5542867
0,g2_model545.fits,1305805888.1035633
0,g2_model283.fits,312828607.07826024
0,g2_model102.fits,350694914.9166437
0,g1_model447.fits,636159667.1669357
0,g2_model331.fits,397446107.76025456
0,g2_model306.fits,
0,g2_model157.fits,358953806.2055636
0,g1_model614.fits,929688011.9460697
0,g1_model852.fits,
0,g1_model693.fits,1202080477.011963
0,g1_model211.fits,275367295.76703876
0,g2_model356.fits,421620803.6899312
0,g1_model279.fits,334343714.1899523
0,g1_model216.fits,269693684.603051
0,g2_model84.fits,253953475.17900905
0,g2_model927.fits,4069227971.2476096
0,g1_model441.fits,623276762.8853292
0,g2_model153.fits,269822185.8008329
0,g1_model142.fits,297832536.1916661
0,g1_model732.fits,1592040398.086243
0,g2_model730.fits,
0,g1_model764.fits,1517270360.3878422
0,g2_model784.fits,1797730511.5934877
0,g2_model325.fits,406339818.2624934
0,g2_model542.fits,696615072.2035844
0,g2_model959.fits,6517954758.90569
0,g2_model832.fits,3124042127.150652
0,g2_model819.fits,2556119459.453741
0,g2_model479.fits,603313524.510492
